Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
1001  300  0.2997002997002997  10000  True  855  25  25  200
1001  300  0.2997002997002997  10000  True  838  25  25  201
1001  300  0.2997002997002997  10000  True  892  21  21  202
1001  300  0.2997002997002997  10000  True  886  25  25  203
1001  300  0.2997002997002997  10000  True  895  25  25  204
1001  300  0.2997002997002997  10000  True  949  23  23  205
1001  300  0.2997002997002997  10000  True  865  25  25  206
1001  400  0.3996003996003996  10000  True  1398  -49  -55  300
1001  400  0.3996003996003996  10000  True  971  15  15  301
1001  400  0.3996003996003996  10000  True  831  17  17  302
1001  400  0.3996003996003996  10000  True  1356  -53  -73  303
1001  400  0.3996003996003996  10000  True  857  15  15  304
1001  400  0.3996003996003996  10000  True  796  15  15  305
1001  400  0.3996003996003996  10000  True  900  19  19  306
1001  400  0.3996003996003996  10000  True  1177  15  15  307
1001  400  0.3996003996003996  10000  True  873  15  15  308
1001  400  0.3996003996003996  10000  True  883  15  15  309
