Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
R = 0.01
1001  300  0.2997002997002997  10000  True  207  -31  -131  2
1001  300  0.2997002997002997  10000  True  211  -41  -71  3
1001  300  0.2997002997002997  10000  True  211  -67  -89  4
1001  300  0.2997002997002997  10000  True  210  -41  -79  5
1001  300  0.2997002997002997  10000  True  119  25  25  6
1001  300  0.2997002997002997  10000  True  209  -33  -75  7
R = 0.001 M=250
1001  250  0.24975024975024976  10000  True  890  31  31  0
1001  250  0.24975024975024976  10000  True  811  31  31  1
1001  250  0.24975024975024976  10000  True  851  31  31  2
1001  250  0.24975024975024976  10000  True  831  29  29  3
1001  250  0.24975024975024976  10000  True  891  33  33  4
1001  250  0.24975024975024976  10000  True  1295  -47  -65  5
1001  250  0.24975024975024976  10000  True  890  31  31  6
1001  250  0.24975024975024976  10000  True  884  33  33  7
1001  250  0.24975024975024976  10000  True  794  33  33  8
1001  250  0.24975024975024976  10000  True  813  31  31  9
1001  250  0.24975024975024976  10000  True  819  33  33  10
1001  250  0.24975024975024976  10000  True  1499  -37  -59  11
1001  250  0.24975024975024976  10000  True  877  31  31  12
M=300
1001  300  0.2997002997002997  10000  True  824  23  23  100
1001  300  0.2997002997002997  10000  True  828  25  25  101
1001  300  0.2997002997002997  10000  True  792  27  27  102
1001  300  0.2997002997002997  10000  True  777  25  25  103
1001  300  0.2997002997002997  10000  True  950  27  27  104
1001  300  0.2997002997002997  10000  True  808  25  25  105
1001  300  0.2997002997002997  10000  True  1451  -39  -65  106
1001  300  0.2997002997002997  10000  True  868  25  25  107
1001  300  0.2997002997002997  10000  True  796  25  25  108
1001  300  0.2997002997002997  10000  True  1393  -51  -83  109
1001  300  0.2997002997002997  10000  True  1012  25  25  110
1001  300  0.2997002997002997  10000  True  970  25  25  111
1001  300  0.2997002997002997  10000  True  834  23  23  112
M=350
1001  350  0.34965034965034963  10000  True  874  19  19  200
1001  350  0.34965034965034963  10000  True  967  19  19  201
1001  350  0.34965034965034963  10000  True  828  17  17  202
1001  350  0.34965034965034963  10000  True  834  19  19  203
1001  350  0.34965034965034963  10000  True  794  21  21  204
1001  350  0.34965034965034963  10000  True  818  19  19  205
1001  350  0.34965034965034963  10000  True  857  21  21  206
1001  350  0.34965034965034963  10000  True  943  19  19  207
1001  350  0.34965034965034963  10000  True  948  19  19  208
1001  350  0.34965034965034963  10000  True  819  21  21  209
1001  350  0.34965034965034963  10000  True  756  21  21  210
M=400
1001  400  0.3996003996003996  10000  True  886  15  15  200
1001  400  0.3996003996003996  10000  True  866  15  15  201
1001  400  0.3996003996003996  10000  True  892  15  15  202
1001  400  0.3996003996003996  10000  True  848  15  15  203
1001  400  0.3996003996003996  10000  True  1398  -47  -65  204
1001  400  0.3996003996003996  10000  True  1356  -65  -69  205
1001  400  0.3996003996003996  10000  True  811  15  15  206
1001  400  0.3996003996003996  10000  True  818  15  15  207
1001  400  0.3996003996003996  10000  True  817  17  17  208
1001  400  0.3996003996003996  10000  True  875  17  17  209
1001  400  0.3996003996003996  10000  True  939  15  15  210
1001  400  0.3996003996003996  10000  True  832  17  17  211
M=500

1001  500  0.4995004995004995  10000  True  918  9  9  400
1001  500  0.4995004995004995  10000  True  1354  -71  -81  401
1001  500  0.4995004995004995  10000  True  879  9  9  402
1001  500  0.4995004995004995  10000  True  828  9  9  403
1001  500  0.4995004995004995  10000  True  799  9  9  404
1001  500  0.4995004995004995  10000  True  820  9  9  405
1001  500  0.4995004995004995  10000  True  845  11  11  406
M=600

1001  600  0.5994005994005994  10000  True  893  3  3  500
1001  600  0.5994005994005994  10000  True  857  5  5  501
1001  600  0.5994005994005994  10000  True  818  3  3  502
1001  600  0.5994005994005994  10000  True  802  5  5  503
1001  600  0.5994005994005994  10000  True  829  5  5  504
1001  600  0.5994005994005994  10000  True  877  3  3  505
1001  600  0.5994005994005994  10000  True  831  5  5  506
M=700

1001  700  0.6993006993006993  10000  True  865  -1  -1  600
1001  700  0.6993006993006993  10000  True  850  1  1  601
1001  700  0.6993006993006993  10000  True  867  -1  -1  602
1001  700  0.6993006993006993  10000  True  911  -1  -1  603
1001  700  0.6993006993006993  10000  True  886  1  1  604
1001  700  0.6993006993006993  10000  True  864  1  1  605
1001  700  0.6993006993006993  10000  True  986  -1  -1  606
1001  700  0.6993006993006993  10000  True  815  1  1  607
1001  700  0.6993006993006993  10000  True  928  -3  -3  608
1001  700  0.6993006993006993  10000  True  855  1  1  609
1001  700  0.6993006993006993  10000  True  955  -1  -1  610
1001  700  0.6993006993006993  10000  True  823  1  1  611
1001  700  0.6993006993006993  10000  True  801  -1  -1  612
1001  700  0.6993006993006993  10000  True  885  -1  -1  613

1001  600  0.5994005994005994  10000  True  886  1  1  507
1001  600  0.5994005994005994  10000  True  862  5  5  508
