Results:
N  M  Alpha  Converged  Delta_max  Delta_convergence  Random_seed  Iterations
101  30  0.297  False  -5  -101  0  10000

31  15  0.4838709677419355  False  -3  -31  112  1000

101  30  0.297029702970297  False  9  -101  112  1000

101  30  0.297029702970297  False  9  -101  112  1000

101  30  0.297029702970297  False  -7  -101  112  1000

101  30  0.297029702970297  False  -3  -101  112  1000

101  30  0.297029702970297  False  -13  -101  112  1000

101  30  0.297029702970297  False  -7  -101  112  1000

101  30  0.297029702970297  False  9  -101  112  1000

101  30  0.297029702970297  False  -7  -101  112  1000

101  30  0.297029702970297  False  -9  -101  112  1000

101  30  0.297029702970297  False  -5  -101  112  1000

101  30  0.297029702970297  False  7  -101  112  1000

101  30  0.297029702970297  False  7  -101  112  1000
