Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
101  30  0.297029702970297  10000  True  209  -5  -11  5001
101  30  0.297029702970297  10000  True  208  -7  -7  5006
101  30  0.297029702970297  10000  True  206  -7  -15  5011
101  30  0.297029702970297  10000  True  207  3  -11  5016
101  30  0.297029702970297  10000  True  210  -7  -19  5021
101  30  0.297029702970297  10000  True  98  7  7  5026
101  30  0.297029702970297  10000  True  206  -7  -11  5031
101  30  0.297029702970297  10000  True  208  -5  -7  5036
101  30  0.297029702970297  10000  True  111  7  7  5041
101  30  0.297029702970297  10000  True  115  7  7  5046
101  30  0.297029702970297  10000  True  104  9  9  5051
101  30  0.297029702970297  10000  True  97  7  7  5056
101  30  0.297029702970297  10000  True  209  -9  -11  5061
101  30  0.297029702970297  10000  True  97  9  9  5066
101  30  0.297029702970297  10000  True  102  9  9  5071
101  30  0.297029702970297  10000  True  207  -9  -13  5076
101  30  0.297029702970297  10000  True  213  -9  -15  5081
101  30  0.297029702970297  10000  True  138  9  9  5086
101  30  0.297029702970297  10000  True  94  9  9  5091
101  30  0.297029702970297  10000  True  208  -5  -11  5096
101  30  0.297029702970297  10000  True  205  -9  -13  5101
101  30  0.297029702970297  10000  True  103  9  9  5106
101  30  0.297029702970297  10000  True  88  9  9  5111
101  30  0.297029702970297  10000  True  211  -5  -9  5116
101  30  0.297029702970297  10000  True  208  -7  -7  5121
101  30  0.297029702970297  10000  True  96  9  9  5126
101  30  0.297029702970297  10000  True  208  -11  -11  5131
101  30  0.297029702970297  10000  True  125  7  7  5136
101  30  0.297029702970297  10000  True  210  -3  -11  5141
101  30  0.297029702970297  10000  True  207  -1  -7  5146
101  30  0.297029702970297  10000  True  210  -5  -13  5151
101  30  0.297029702970297  10000  True  211  -7  -11  5156
101  30  0.297029702970297  10000  True  209  1  -13  5161
101  30  0.297029702970297  10000  True  208  -7  -11  5166
101  30  0.297029702970297  10000  True  215  -7  -25  5171
101  30  0.297029702970297  10000  True  147  7  7  5176
101  30  0.297029702970297  10000  True  87  9  9  5181
101  30  0.297029702970297  10000  True  91  11  11  5186
101  30  0.297029702970297  10000  True  101  7  7  5191
101  30  0.297029702970297  10000  True  206  -7  -11  5196
101  30  0.297029702970297  10000  True  158  9  9  5201
101  30  0.297029702970297  10000  True  211  -3  -3  5206
101  30  0.297029702970297  10000  True  117  9  9  5211
101  30  0.297029702970297  10000  True  124  5  5  5216
101  30  0.297029702970297  10000  True  211  -11  -13  5221
101  30  0.297029702970297  10000  True  207  -3  -17  5226
101  30  0.297029702970297  10000  True  207  -5  -17  5231
101  30  0.297029702970297  10000  True  208  -5  -9  5236
101  30  0.297029702970297  10000  True  205  -9  -11  5241
101  30  0.297029702970297  10000  True  93  9  9  5246
101  30  0.297029702970297  10000  True  100  7  7  5251
101  30  0.297029702970297  10000  True  205  -1  -11  5256
