Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
101  30  0.297029702970297  10000  True  87  9  9  5000
101  30  0.297029702970297  10000  True  76  9  9  5005
101  30  0.297029702970297  10000  True  114  7  7  5010
101  30  0.297029702970297  10000  True  96  9  9  5015
101  30  0.297029702970297  10000  True  205  1  -9  5020
101  30  0.297029702970297  10000  True  208  -1  -17  5025
101  30  0.297029702970297  10000  True  139  7  7  5030
101  30  0.297029702970297  10000  True  102  9  9  5035
101  30  0.297029702970297  10000  True  103  9  9  5040
101  30  0.297029702970297  10000  True  108  11  11  5045
101  30  0.297029702970297  10000  True  99  7  7  5050
101  30  0.297029702970297  10000  True  102  11  9  5055
101  30  0.297029702970297  10000  True  127  7  7  5060
101  30  0.297029702970297  10000  True  205  -11  -13  5065
101  30  0.297029702970297  10000  True  206  3  -13  5070
101  30  0.297029702970297  10000  True  206  -5  -7  5075
101  30  0.297029702970297  10000  True  93  11  11  5080
101  30  0.297029702970297  10000  True  114  11  11  5085
101  30  0.297029702970297  10000  True  102  9  9  5090
101  30  0.297029702970297  10000  True  181  7  7  5095
101  30  0.297029702970297  10000  True  110  7  7  5100
101  30  0.297029702970297  10000  True  101  9  9  5105
101  30  0.297029702970297  10000  True  105  5  5  5110
101  30  0.297029702970297  10000  True  139  9  9  5115
101  30  0.297029702970297  10000  True  127  7  7  5120
101  30  0.297029702970297  10000  True  132  7  7  5125
101  30  0.297029702970297  10000  True  210  -7  -7  5130
101  30  0.297029702970297  10000  True  205  1  -9  5135
101  30  0.297029702970297  10000  True  102  7  7  5140
101  30  0.297029702970297  10000  True  81  11  11  5145
101  30  0.297029702970297  10000  True  99  7  7  5150
101  30  0.297029702970297  10000  True  114  9  9  5155
101  30  0.297029702970297  10000  True  113  9  9  5160
101  30  0.297029702970297  10000  True  114  7  7  5165
101  30  0.297029702970297  10000  True  119  9  9  5170
101  30  0.297029702970297  10000  True  108  9  9  5175
101  30  0.297029702970297  10000  True  123  9  9  5180
101  30  0.297029702970297  10000  True  146  7  7  5185
101  30  0.297029702970297  10000  True  104  9  9  5190
101  30  0.297029702970297  10000  True  113  9  9  5195
101  30  0.297029702970297  10000  True  101  9  9  5200
101  30  0.297029702970297  10000  True  128  7  7  5205
101  30  0.297029702970297  10000  True  205  -5  -9  5210
101  30  0.297029702970297  10000  True  119  9  9  5215
101  30  0.297029702970297  10000  True  107  9  9  5220
101  30  0.297029702970297  10000  True  99  7  7  5225
101  30  0.297029702970297  10000  True  98  9  9  5230
101  30  0.297029702970297  10000  True  127  9  9  5235
101  30  0.297029702970297  10000  True  101  9  9  5240
101  30  0.297029702970297  10000  True  104  7  7  5245
101  30  0.297029702970297  10000  True  207  -13  -17  5250
101  30  0.297029702970297  10000  True  197  5  5  5255
101  30  0.297029702970297  10000  True  98  9  9  5260
101  30  0.297029702970297  10000  True  207  -3  -5  5265
101  30  0.297029702970297  10000  True  137  9  9  5270
101  30  0.297029702970297  10000  True  119  7  7  5275
101  30  0.297029702970297  10000  True  62  9  9  5280
