N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
1001  300  0.2997002997002997  10000  True  855  25  25  0
1001  300  0.2997002997002997  10000  True  838  25  25  1
1001  300  0.2997002997002997  10000  True  892  21  21  2
1001  300  0.2997002997002997  10000  True  886  25  25  3
1001  300  0.2997002997002997  10000  True  895  25  25  4
1001  300  0.2997002997002997  10000  True  949  23  23  5
1001  300  0.2997002997002997  10000  True  865  25  25  6
1001  300  0.2997002997002997  10000  True  901  23  23  7
1001  300  0.2997002997002997  10000  True  888  25  25  8
1001  300  0.2997002997002997  10000  True  855  25  25  9
1001  300  0.2997002997002997  10000  True  1493  -33  -61  10
1001  300  0.2997002997002997  10000  True  946  23  23  11
1001  300  0.2997002997002997  10000  True  867  25  25  12
1001  300  0.2997002997002997  10000  True  928  23  23  13
1001  300  0.2997002997002997  10000  True  892  21  21  14
1001  300  0.2997002997002997  10000  True  859  25  25  15
1001  300  0.2997002997002997  10000  True  933  23  23  16
1001  300  0.2997002997002997  10000  True  878  25  25  17
1001  300  0.2997002997002997  10000  True  951  21  21  18
1001  300  0.2997002997002997  10000  True  1345  -41  -57  19
1001  400  0.3996003996003996  10000  True  1398  -49  -55  300
1001  400  0.3996003996003996  10000  True  971  15  15  301
1001  400  0.3996003996003996  10000  True  831  17  17  302
1001  400  0.3996003996003996  10000  True  1356  -53  -73  303
1001  400  0.3996003996003996  10000  True  857  15  15  304
1001  400  0.3996003996003996  10000  True  796  15  15  305
1001  400  0.3996003996003996  10000  True  900  19  19  306
1001  400  0.3996003996003996  10000  True  1177  15  15  307
1001  400  0.3996003996003996  10000  True  873  15  15  308
1001  400  0.3996003996003996  10000  True  883  15  15  309
1001  400  0.3996003996003996  10000  True  891  15  15  310
1001  400  0.3996003996003996  10000  True  1392  -51  -65  311
1001  400  0.3996003996003996  10000  True  869  15  15  312
1001  400  0.3996003996003996  10000  True  902  15  15  313
1001  400  0.3996003996003996  10000  True  912  19  19  314
1001  400  0.3996003996003996  10000  True  843  15  15  315
1001  400  0.3996003996003996  10000  True  844  17  17  316
1001  400  0.3996003996003996  10000  True  1415  -47  -69  317
1001  400  0.3996003996003996  10000  True  1363  -61  -77  318
1001  400  0.3996003996003996  10000  True  876  15  15  319
1001  500  0.4995004995004995  10000  True  873  9  9  500
1001  500  0.4995004995004995  10000  True  953  7  7  501
1001  500  0.4995004995004995  10000  True  791  9  9  502
1001  500  0.4995004995004995  10000  True  1435  -65  -77  503
1001  500  0.4995004995004995  10000  True  1398  -59  -75  504
1001  500  0.4995004995004995  10000  True  898  9  9  505
1001  500  0.4995004995004995  10000  True  902  9  9  506
1001  500  0.4995004995004995  10000  True  845  11  11  507
1001  500  0.4995004995004995  10000  True  918  9  9  508
1001  500  0.4995004995004995  10000  True  863  7  7  509
1001  500  0.4995004995004995  10000  True  931  9  9  510
1001  500  0.4995004995004995  10000  True  1384  -53  -69  511
1001  500  0.4995004995004995  10000  True  1401  -45  -61  512
1001  500  0.4995004995004995  10000  True  921  7  7  513
1001  500  0.4995004995004995  10000  True  877  11  11  514
1001  500  0.4995004995004995  10000  True  899  9  9  515
1001  500  0.4995004995004995  10000  True  1392  -55  -73  516
1001  500  0.4995004995004995  10000  True  812  9  9  517
1001  500  0.4995004995004995  10000  True  889  7  7  518
1001  500  0.4995004995004995  10000  True  903  9  9  519
1001  600  0.5994005994005994  10000  True  848  5  5  600
1001  600  0.5994005994005994  10000  True  879  5  5  601
1001  600  0.5994005994005994  10000  True  889  3  3  602
1001  600  0.5994005994005994  10000  True  876  5  5  603
1001  600  0.5994005994005994  10000  True  861  5  5  604
1001  600  0.5994005994005994  10000  True  912  3  3  605
1001  600  0.5994005994005994  10000  True  838  5  5  606
1001  600  0.5994005994005994  10000  True  899  3  3  607
1001  600  0.5994005994005994  10000  True  873  5  5  608
1001  600  0.5994005994005994  10000  True  828  3  3  609
1001  600  0.5994005994005994  10000  True  895  5  5  610
1001  600  0.5994005994005994  10000  True  1358  -51  -67  611
1001  600  0.5994005994005994  10000  True  866  5  5  612
1001  600  0.5994005994005994  10000  True  902  5  5  613
1001  600  0.5994005994005994  10000  True  921  3  3  614
1001  600  0.5994005994005994  10000  True  819  5  5  615
1001  600  0.5994005994005994  10000  True  933  3  3  616
1001  600  0.5994005994005994  10000  True  861  5  5  617
1001  600  0.5994005994005994  10000  True  880  3  3  618
1001  600  0.5994005994005994  10000  True  901  3  3  619
1001  700  0.6993006993006993  10000  True  861  1  1  700
1001  700  0.6993006993006993  10000  True  843  -1  -1  701
1001  700  0.6993006993006993  10000  True  899  -1  -1  702
1001  700  0.6993006993006993  10000  True  871  -3  -3  703
1001  700  0.6993006993006993  10000  True  864  -1  -1  704
1001  700  0.6993006993006993  10000  True  911  -1  -1  705
1001  700  0.6993006993006993  10000  True  846  -3  -3  706
1001  700  0.6993006993006993  10000  True  884  -1  -1  707
1001  700  0.6993006993006993  10000  True  902  1  1  708
1001  700  0.6993006993006993  10000  True  873  -1  -1  709
1001  700  0.6993006993006993  10000  True  931  -1  -1  710
1001  700  0.6993006993006993  10000  True  861  1  1  711
1001  700  0.6993006993006993  10000  True  919  -1  -1  712
1001  700  0.6993006993006993  10000  True  839  -1  -1  713
1001  700  0.6993006993006993  10000  True  1368  -47  -69  714
1001  700  0.6993006993006993  10000  True  1402  -61  -75  715
1001  700  0.6993006993006993  10000  True  879  -5  -5  716
1001  700  0.6993006993006993  10000  True  906  1  1  717
1001  700  0.6993006993006993  10000  True  829  -1  -1  718
1001  700  0.6993006993006993  10000  True  848  -1  -1  719
