N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
1001  250  0.24975024975024976  10000  True  890  31  31  0
1001  250  0.24975024975024976  10000  True  811  31  31  1
1001  250  0.24975024975024976  10000  True  851  31  31  2
1001  250  0.24975024975024976  10000  True  831  29  29  3
1001  250  0.24975024975024976  10000  True  891  33  33  4
1001  250  0.24975024975024976  10000  True  1295  -47  -65  5
1001  250  0.24975024975024976  10000  True  890  31  31  6
1001  250  0.24975024975024976  10000  True  884  33  33  7
1001  250  0.24975024975024976  10000  True  794  33  33  8
1001  250  0.24975024975024976  10000  True  813  31  31  9
1001  250  0.24975024975024976  10000  True  819  33  33  10
1001  250  0.24975024975024976  10000  True  1499  -37  -59  11
1001  250  0.24975024975024976  10000  True  877  31  31  12
1001  250  0.24975024975024976  10000  True  861  31  31  13
1001  250  0.24975024975024976  10000  True  842  31  31  14
1001  250  0.24975024975024976  10000  True  899  33  33  15
1001  250  0.24975024975024976  10000  True  888  29  29  16
1001  250  0.24975024975024976  10000  True  871  33  33  17
1001  250  0.24975024975024976  10000  True  836  33  33  18
1001  250  0.24975024975024976  10000  True  903  29  29  19
1001  300  0.2997002997002997  10000  True  824  23  23  100
1001  300  0.2997002997002997  10000  True  828  25  25  101
1001  300  0.2997002997002997  10000  True  792  27  27  102
1001  300  0.2997002997002997  10000  True  777  25  25  103
1001  300  0.2997002997002997  10000  True  950  27  27  104
1001  300  0.2997002997002997  10000  True  808  25  25  105
1001  300  0.2997002997002997  10000  True  1451  -39  -65  106
1001  300  0.2997002997002997  10000  True  868  25  25  107
1001  300  0.2997002997002997  10000  True  796  25  25  108
1001  300  0.2997002997002997  10000  True  1393  -51  -83  109
1001  300  0.2997002997002997  10000  True  1012  25  25  110
1001  300  0.2997002997002997  10000  True  970  25  25  111
1001  300  0.2997002997002997  10000  True  834  23  23  112
1001  300  0.2997002997002997  10000  True  829  23  23  113
1001  300  0.2997002997002997  10000  True  853  25  25  114
1001  300  0.2997002997002997  10000  True  794  27  27  115
1001  300  0.2997002997002997  10000  True  1450  -41  -69  116
1001  300  0.2997002997002997  10000  True  928  27  27  117
1001  300  0.2997002997002997  10000  True  983  25  25  118
1001  300  0.2997002997002997  10000  True  806  27  27  119
1001  350  0.34965034965034963  10000  True  874  19  19  200
1001  350  0.34965034965034963  10000  True  967  19  19  201
1001  350  0.34965034965034963  10000  True  828  17  17  202
1001  350  0.34965034965034963  10000  True  834  19  19  203
1001  350  0.34965034965034963  10000  True  794  21  21  204
1001  350  0.34965034965034963  10000  True  818  19  19  205
1001  350  0.34965034965034963  10000  True  857  21  21  206
1001  350  0.34965034965034963  10000  True  943  19  19  207
1001  350  0.34965034965034963  10000  True  948  19  19  208
1001  350  0.34965034965034963  10000  True  1331  -47  -69  209
1001  350  0.34965034965034963  10000  True  756  21  21  210
1001  350  0.34965034965034963  10000  True  901  19  19  211
1001  350  0.34965034965034963  10000  True  873  21  21  212
1001  350  0.34965034965034963  10000  True  842  19  19  213
1001  350  0.34965034965034963  10000  True  801  21  21  214
1001  350  0.34965034965034963  10000  True  878  19  19  215
1001  350  0.34965034965034963  10000  True  819  21  21  216
1001  350  0.34965034965034963  10000  True  1398  -39  -63  217
1001  350  0.34965034965034963  10000  True  861  19  19  218
1001  350  0.34965034965034963  10000  True  910  21  21  219
1001  400  0.3996003996003996  10000  True  886  15  15  300
1001  400  0.3996003996003996  10000  True  866  15  15  301
1001  400  0.3996003996003996  10000  True  892  15  15  302
1001  400  0.3996003996003996  10000  True  848  15  15  303
1001  400  0.3996003996003996  10000  True  1398  -47  -65  304
1001  400  0.3996003996003996  10000  True  1356  -65  -69  305
1001  400  0.3996003996003996  10000  True  811  15  15  306
1001  400  0.3996003996003996  10000  True  818  15  15  307
1001  400  0.3996003996003996  10000  True  817  17  17  308
1001  400  0.3996003996003996  10000  True  875  17  17  309
1001  400  0.3996003996003996  10000  True  939  15  15  310
1001  400  0.3996003996003996  10000  True  832  17  17  311
1001  400  0.3996003996003996  10000  True  879  15  15  312
1001  400  0.3996003996003996  10000  True  906  17  17  313
1001  400  0.3996003996003996  10000  True  888  15  15  314
1001  400  0.3996003996003996  10000  True  839  17  17  315
1001  400  0.3996003996003996  10000  True  915  15  15  316
1001  400  0.3996003996003996  10000  True  1367  -49  -67  317
1001  400  0.3996003996003996  10000  True  1402  -61  -77  318
1001  400  0.3996003996003996  10000  True  894  15  15  319
1001  500  0.4995004995004995  10000  True  918  9  9  400
1001  500  0.4995004995004995  10000  True  1354  -71  -81  401
1001  500  0.4995004995004995  10000  True  879  9  9  402
1001  500  0.4995004995004995  10000  True  828  9  9  403
1001  500  0.4995004995004995  10000  True  799  9  9  404
1001  500  0.4995004995004995  10000  True  820  9  9  405
1001  500  0.4995004995004995  10000  True  845  11  11  406
1001  500  0.4995004995004995  10000  True  902  9  9  407
1001  500  0.4995004995004995  10000  True  849  9  9  408
1001  500  0.4995004995004995  10000  True  910  9  9  409
1001  500  0.4995004995004995  10000  True  895  11  11  410
1001  500  0.4995004995004995  10000  True  814  9  9  411
1001  500  0.4995004995004995  10000  True  877  11  11  412
1001  500  0.4995004995004995  10000  True  903  9  9  413
1001  500  0.4995004995004995  10000  True  1346  -67  -81  414
1001  500  0.4995004995004995  10000  True  1383  9  9  415
1001  500  0.4995004995004995  10000  True  870  11  11  416
1001  500  0.4995004995004995  10000  True  917  -53  -73  417
1001  500  0.4995004995004995  10000  True  836  9  9  418
1001  500  0.4995004995004995  10000  True  891  9  9  419
1001  600  0.5994005994005994  10000  True  893  3  3  500
1001  600  0.5994005994005994  10000  True  857  5  5  501
1001  600  0.5994005994005994  10000  True  818  3  3  502
1001  600  0.5994005994005994  10000  True  802  5  5  503
1001  600  0.5994005994005994  10000  True  829  5  5  504
1001  600  0.5994005994005994  10000  True  876  3  3  505
1001  600  0.5994005994005994  10000  True  845  3  3  506
1001  600  0.5994005994005994  10000  True  838  3  3  507
1001  600  0.5994005994005994  10000  True  1492  -45  -63  508
1001  600  0.5994005994005994  10000  True  866  3  3  509
1001  600  0.5994005994005994  10000  True  1416  -65  -83  510
1001  600  0.5994005994005994  10000  True  819  3  3  511
1001  600  0.5994005994005994  10000  True  862  5  5  512
1001  600  0.5994005994005994  10000  True  895  3  3  513
1001  600  0.5994005994005994  10000  True  879  5  5  514
1001  600  0.5994005994005994  10000  True  911  3  3  515
1001  600  0.5994005994005994  10000  True  828  5  5  516
1001  600  0.5994005994005994  10000  True  1348  -57  -75  517
1001  600  0.5994005994005994  10000  True  880  5  5  518
1001  600  0.5994005994005994  10000  True  846  5  5  519
1001  700  0.6993006993006993  10000  True  869  1  1  600
1001  700  0.6993006993006993  10000  True  832  1  1  601
1001  700  0.6993006993006993  10000  True  893  -1  -1  602
1001  700  0.6993006993006993  10000  True  809  -1  -1  603
1001  700  0.6993006993006993  10000  True  1328  -43  -69  604
1001  700  0.6993006993006993  10000  True  884  1  1  605
1001  700  0.6993006993006993  10000  True  819  -1  -1  606
1001  700  0.6993006993006993  10000  True  1412  -65  -85  607
1001  700  0.6993006993006993  10000  True  888  1  1  608
1001  700  0.6993006993006993  10000  True  903  1  1  609
1001  700  0.6993006993006993  10000  True  846  1  1  610
1001  700  0.6993006993006993  10000  True  898  -1  -1  611
1001  700  0.6993006993006993  10000  True  831  -1  -1  612
1001  700  0.6993006993006993  10000  True  875  -1  -1  613
1001  700  0.6993006993006993  10000  True  919  1  1  614
1001  700  0.6993006993006993  10000  True  1381  -55  -81  615
1001  700  0.6993006993006993  10000  True  859  1  1  616
1001  700  0.6993006993006993  10000  True  911  -1  -1  617
1001  700  0.6993006993006993  10000  True  1367  -47  -67  618
1001  700  0.6993006993006993  10000  True  861  1  1  619
