Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
1001  300  0.2997002997002997  10000  False  10000  1  -1001  1000
101  30  0.297029702970297  10000  False  10000  -5  -101  0
101  30  0.297029702970297  10000  False  10000  -3  -101  1
101  30  0.297029702970297  10000  False  10000  7  -101  2
101  30  0.297029702970297  10000  False  10000  -9  -101  3
101  30  0.297029702970297  10000  False  10000  9  -101  4
101  30  0.297029702970297  10000  False  10000  -5  -101  5
101  30  0.297029702970297  10000  False  10000  9  -101  6
101  30  0.297029702970297  10000  False  10000  -5  -101  7
101  30  0.297029702970297  10000  False  10000  7  -101  8
101  30  0.297029702970297  10000  False  10000  7  -101  9
101  30  0.297029702970297  10000  False  10000  -13  -101  10
101  30  0.297029702970297  10000  False  10000  9  -101  11
101  30  0.297029702970297  10000  False  10000  -17  -101  12
101  30  0.297029702970297  10000  False  10000  9  -101  13
101  30  0.297029702970297  10000  False  10000  7  -101  14
101  30  0.297029702970297  10000  False  10000  9  -101  15
101  30  0.297029702970297  10000  True  8445  9  9  16
101  30  0.297029702970297  10000  False  10000  7  -101  17
101  30  0.297029702970297  10000  False  10000  -5  -101  18
101  30  0.297029702970297  10000  False  10000  -17  -101  19
101  30  0.297029702970297  10000  False  10000  9  -101  20
101  30  0.297029702970297  10000  False  10000  -1  -101  21
